scan,Q,dQ,tau,dtau,dtau%,beta,dbeta,dbeta%,c,dc,dc%,y0,dy0,dy%,redchi2,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
GeO2_3_555C_0001_0004,0.2,0.02,3.124443919666565,0.0666144425577146,2.132041549487105,0.666412414801261,0.0090912849759542,1.3642130269535089,0.0249761399894049,0.0002881722686402,1.1537902524670087,1.0014016842965432,1.4011181726251948e-05,0.0013991569962351,2.1862378347553477,3.0,555.0,4.84e-06,195.697487,194.653733,9.7,0.19,,heating,,
GeO2_3_555C_0001_0004,0.21,0.01,2.9138922302571264,0.1032701742114234,3.5440629251518594,0.626255864158733,0.0120235354324902,1.9199078396881435,0.0258205766005715,0.0004615074587014,1.7873631012998017,1.0012453767893206,2.9352511911751437e-06,0.0002931600244275,2.50380647982224,3.0,555.0,4.84e-06,195.697487,194.653733,9.7,0.19,,heating,,
GeO2_3_590C_0001_0004,0.2,0.02,1.8059955120668307,0.046737995303008,2.587935296113763,0.6755674637596011,0.0109761995679822,1.624737743718241,0.0251249502869775,0.0003498052848638,1.3922625950234035,1.001337272999458,1.1710382589519129e-05,0.0011694743524767,1.8333872794684485,3.0,590.0,4.746e-06,194.262304,193.235308,9.7,0.19,,heating,,
GeO2_3_590C_0001_0004,0.21,0.01,1.618156271219186,0.0647982969810452,4.004452359364743,0.6301591531203603,0.0137910101443594,2.1884963625570624,0.026289670048275,0.0005336606754523,2.029925345096984,1.001242259474044,2.8648960295883463e-06,0.0002861341501,1.733534134805331,3.0,590.0,4.746e-06,194.262304,193.235308,9.7,0.19,,heating,,
GeO2_3_625C_0001_0004,0.2,0.02,0.992484311983817,0.0233831673836136,2.356023878793053,0.7029673434040262,0.0108499720165251,1.5434532085069037,0.0243866337022309,0.0003156889637272,1.2945163632749188,1.001257297809978,7.588048159444322e-06,0.0007578519703218,1.3144953831679989,3.0,625.0,4.837e-06,200.129275,199.14128,9.7,0.19,,heating,,
GeO2_3_625C_0001_0004,0.21,0.01,1.001399865680399,0.0334574956515886,3.341072512413009,0.7033538132342523,0.0152039802719082,2.161640412809497,0.0239622212731562,0.0004375300589957,1.825916111900328,1.0012386458067664,1.7202064961278104e-06,0.0001718078405515,1.254111980398205,3.0,625.0,4.837e-06,200.129275,199.14128,9.7,0.19,,heating,,
"GeO2_3_660C_0001_range(4, 8)",0.2,0.02,0.7137495120276068,0.0282430612471167,3.9569990271354953,0.6767317433092824,0.0164921563465171,2.4370301097254434,0.0237561322079774,0.0005026391695672,2.1158291474672613,1.0013117436107792,1.00256112653463e-05,0.0010012477462007,1.574943238707669,3.0,660.0,,,,9.7,0.19,,heating,,
"GeO2_3_660C_0001_range(4, 8)",0.21,0.01,0.690894172465835,0.0405066470712429,5.862930776601101,0.6658414719354954,0.0231975357442643,3.483942758451622,0.0239776134678347,0.0007403110287631,3.0875092292076274,1.0012553140764604,4.486548860791198e-06,0.0004480923893951,1.5751020849278357,3.0,660.0,,,,9.7,0.19,,heating,,
"GeO2_3_695C_0001_range(4, 8)",0.2,0.02,0.4333159391047554,0.0210710518277082,4.862745614952842,0.6884859698340513,0.0210351478389058,3.0552761799889776,0.0233482338180604,0.0006136123557288,2.62808896171911,1.0012745640603131,9.258663680857452e-06,0.0009246877942561,1.4424549809971474,3.0,,,,,9.7,0.19,,heating,,
"GeO2_3_695C_0001_range(4, 8)",0.21,0.01,0.4483529800792776,0.0267544709711211,5.967278497042767,0.719383446400997,0.0286794649482301,3.9866729060434514,0.0223545055979433,0.0007412142310712,3.315726343504863,1.001244410608925,3.980484764801367e-06,0.000397553756368,1.1270420667439494,3.0,,,,,9.7,0.19,,heating,,
GeO2_3_730C_0001_0004,0.2,0.015,0.2578262615965339,0.0264761185857973,10.268976644136124,0.7169065628883705,0.048823167239635,6.810255306204703,0.0223380661427589,0.0012735762777693,5.7013721314553685,1.001235821433271,5.281852794651077e-06,0.0005275333424537,0.9001721608706363,3.0,730.0,4.8671e-06,199.65727,199.65727,9.7,0.19,,heating,,
GeO2_3_730C_0001_0004,0.2,0.015,0.2578262615965339,0.0264761185857973,10.268976644136124,0.7169065628883705,0.048823167239635,6.810255306204703,0.0223380661427589,0.0012735762777693,5.7013721314553685,1.001235821433271,5.281852794651077e-06,0.0005275333424537,0.9001721608706363,3.0,730.0,0.0,,,9.7,0.19,,,,
GeO2_3_730C_0001_0004,0.17,0.015,0.3312449575834049,0.0303046832570924,9.148722890207925,0.8138461283517019,0.0599900788206932,7.371181938555427,0.0205513500419887,0.0011378645062053,5.536689822715325,1.0011829223322573,5.914858195688403e-06,0.0005907869644749,1.1081887316219914,3.0,730.0,4.8671e-06,199.65727,199.65727,9.7,0.19,,heating,,
GeO2_3_730C_0001_0004,0.17,0.015,0.3312449575834049,0.0303046832570924,9.148722890207925,0.8138461283517019,0.0599900788206932,7.371181938555427,0.0205513500419887,0.0011378645062053,5.536689822715325,1.0011829223322573,5.914858195688403e-06,0.0005907869644749,1.1081887316219914,3.0,730.0,0.0,,,9.7,0.19,,,,
